,dt
0,2010-01-01
1,2010-01-02
2,2010-01-03
3,2010-01-04
4,2010-01-05
5,2010-01-06
6,2010-01-07
7,2010-01-08
8,2010-01-09
9,2010-01-10
10,2010-01-11
11,2010-01-12
12,2010-01-13
13,2010-01-16
14,2010-01-17
15,2010-01-19
16,2010-01-20
17,2010-01-21
18,2010-01-22
19,2010-01-23
20,2010-01-24
21,2010-01-26
22,2010-01-27
23,2010-01-28
24,2010-01-29
25,2010-01-30
26,2010-01-31
27,2010-02-01
28,2010-02-02
29,2010-02-03
30,2010-02-04
31,2010-02-05
32,2010-02-06
33,2010-02-07
34,2010-02-08
35,2010-02-09
36,2010-02-11
37,2010-02-12
38,2010-02-13
39,2010-02-15
40,2010-02-16
41,2010-02-17
42,2010-02-18
43,2010-02-19
44,2010-02-20
45,2010-02-21
46,2010-02-23
47,2010-02-24
48,2010-02-25
49,2010-02-26
50,2010-02-27
51,2010-02-28
52,2010-03-01
53,2010-03-02
54,2010-03-03
55,2010-03-05
56,2010-03-06
57,2010-03-08
58,2010-03-09
59,2010-03-10
60,2010-03-11
61,2010-03-12
62,2010-03-13
63,2010-03-14
64,2010-03-15
65,2010-03-16
66,2010-03-17
67,2010-03-18
68,2010-03-19
69,2010-03-20
70,2010-03-21
71,2010-03-22
72,2010-03-23
73,2010-03-24
74,2010-03-25
75,2010-03-26
76,2010-03-28
77,2010-03-29
78,2010-03-30
79,2010-03-31
80,2010-04-01
81,2010-04-02
82,2010-04-03
83,2010-04-05
84,2010-04-06
85,2010-04-08
86,2010-04-09
87,2010-04-10
88,2010-04-11
89,2010-04-12
90,2010-04-13
91,2010-04-14
92,2010-04-15
93,2010-04-16
94,2010-04-17
95,2010-04-18
96,2010-04-19
97,2010-04-21
98,2010-04-22
99,2010-04-23
100,2010-04-24
101,2010-04-25
102,2010-04-27
103,2010-04-28
104,2010-04-29
105,2010-04-30
106,2010-05-01
107,2010-05-02
108,2010-05-03
109,2010-05-04
110,2010-05-05
111,2010-05-06
112,2010-05-07
113,2010-05-08
114,2010-05-09
115,2010-05-10
116,2010-05-12
117,2010-05-13
118,2010-05-14
119,2010-05-15
120,2010-05-16
121,2010-05-17
122,2010-05-18
123,2010-05-19
124,2010-05-20
125,2010-05-21
126,2010-05-22
127,2010-05-23
128,2010-05-24
129,2010-05-25
130,2010-05-26
131,2010-05-27
132,2010-05-28
133,2010-05-29
134,2010-05-30
135,2010-06-01
136,2010-06-02
137,2010-06-03
138,2010-06-04
139,2010-06-06
140,2010-06-07
141,2010-06-08
142,2010-06-09
143,2010-06-11
144,2010-06-12
145,2010-06-13
146,2010-06-14
147,2010-06-15
148,2010-06-16
149,2010-06-17
150,2010-06-18
151,2010-06-19
152,2010-06-20
153,2010-06-21
154,2010-06-23
155,2010-06-24
156,2010-06-25
157,2010-06-26
158,2010-06-27
159,2010-06-28
160,2010-06-29
161,2010-06-30
162,2010-07-02
163,2010-07-03
164,2010-07-04
165,2010-07-05
166,2010-07-07
167,2010-07-08
168,2010-07-09
169,2010-07-10
170,2010-07-11
171,2010-07-12
172,2010-07-14
173,2010-07-15
174,2010-07-16
175,2010-07-17
176,2010-07-18
177,2010-07-19
178,2010-07-20
179,2010-07-21
180,2010-07-22
181,2010-07-23
182,2010-07-24
183,2010-07-25
184,2010-07-26
185,2010-07-27
186,2010-07-28
187,2010-07-29
188,2010-07-30
189,2010-07-31
190,2010-08-01
191,2010-08-02
192,2010-08-03
193,2010-08-05
194,2010-08-06
195,2010-08-07
196,2010-08-09
197,2010-08-10
198,2010-08-11
199,2010-08-12
200,2010-08-13
201,2010-08-14
202,2010-08-15
203,2010-08-16
204,2010-08-20
205,2010-08-21
206,2010-08-22
207,2010-08-23
208,2010-08-24
209,2010-08-25
210,2010-08-27
211,2010-08-28
212,2010-08-29
213,2010-08-30
214,2010-08-31
215,2010-09-01
216,2010-09-02
217,2010-09-03
218,2010-09-04
219,2010-09-05
220,2010-09-06
221,2010-09-07
222,2010-09-08
223,2010-09-09
224,2010-09-10
225,2010-09-11
226,2010-09-12
227,2010-09-13
228,2010-09-14
229,2010-09-15
230,2010-09-17
231,2010-09-18
232,2010-09-19
233,2010-09-20
234,2010-09-21
235,2010-09-22
236,2010-09-23
237,2010-09-24
238,2010-09-25
239,2010-09-26
240,2010-09-27
241,2010-09-28
242,2010-09-29
243,2010-10-01
244,2010-10-02
245,2010-10-03
246,2010-10-04
247,2010-10-05
248,2010-10-06
249,2010-10-07
250,2010-10-08
251,2010-10-09
252,2010-10-11
253,2010-10-12
254,2010-10-13
255,2010-10-14
256,2010-10-15
257,2010-10-16
258,2010-10-17
259,2010-10-18
260,2010-10-20
261,2010-10-21
262,2010-10-22
263,2010-10-23
264,2010-10-24
265,2010-10-25
266,2010-10-26
267,2010-10-27
268,2010-10-28
269,2010-10-29
270,2010-10-30
271,2010-11-01
272,2010-11-02
273,2010-11-03
274,2010-11-04
275,2010-11-05
276,2010-11-06
277,2010-11-07
278,2010-11-08
279,2010-11-11
280,2010-11-12
281,2010-11-13
282,2010-11-14
283,2010-11-15
284,2010-11-16
285,2010-11-17
286,2010-11-18
287,2010-11-19
288,2010-11-20
289,2010-11-23
290,2010-11-24
291,2010-11-25
292,2010-11-26
293,2010-11-27
294,2010-11-28
295,2010-11-29
296,2010-11-30
297,2010-12-01
298,2010-12-02
299,2010-12-03
300,2010-12-04
301,2010-12-06
302,2010-12-07
303,2010-12-08
304,2010-12-09
305,2010-12-10
306,2010-12-11
307,2010-12-12
308,2010-12-13
309,2010-12-14
310,2010-12-15
311,2010-12-16
312,2010-12-18
313,2010-12-19
314,2010-12-20
315,2010-12-21
316,2010-12-22
317,2010-12-23
318,2010-12-24
319,2010-12-25
320,2010-12-26
321,2010-12-27
322,2010-12-28
323,2010-12-29
324,2010-12-30
325,2010-12-31
326,2011-01-01
327,2011-01-02
328,2011-01-03
329,2011-01-04
330,2011-01-05
331,2011-01-06
332,2011-01-07
333,2011-01-08
334,2011-01-09
335,2011-01-10
336,2011-01-11
337,2011-01-13
338,2011-01-14
339,2011-01-15
340,2011-01-16
341,2011-01-17
342,2011-01-18
343,2011-01-20
344,2011-01-22
345,2011-01-23
346,2011-01-24
347,2011-01-25
348,2011-01-27
349,2011-01-28
350,2011-01-31
