,id,account_id,dttm,amt
12,1,13,2010-02-24 00:00:00,0.0
5866,2,13,2010-03-03 05:57:25,-93.33
1972,3,13,2010-03-20 12:42:05,-438.75
8041,4,13,2010-03-26 04:01:58,948.46
8658,5,13,2010-03-29 04:30:37,-717.27
75,6,76,2010-04-06 00:00:00,0.0
8889,7,76,2010-04-08 22:55:43,-44.99
2702,8,13,2010-04-09 10:46:08,821.17
1863,9,13,2010-04-13 18:12:20,790.66
3017,10,13,2010-05-15 00:06:29,-194.29
9975,11,13,2010-05-17 05:35:01,-757.2
5156,12,76,2010-05-17 20:53:06,778.31
5968,13,13,2010-05-26 13:19:52,-695.26
4681,14,13,2010-06-11 04:05:23,386.09
11,15,12,2010-06-13 00:00:00,0.0
9129,16,12,2010-06-15 05:50:58,-385.18
7174,17,13,2010-06-19 05:13:37,152.35
1946,18,12,2010-06-20 06:11:07,-552.9
7636,19,13,2010-06-23 11:59:36,-895.25
5748,20,13,2010-06-23 21:29:42,-360.56
3514,21,12,2010-06-26 15:41:10,-45.02
3752,22,13,2010-06-28 12:03:16,-643.12
8470,23,12,2010-06-30 01:47:48,-733.68
5921,24,12,2010-06-30 06:50:43,-77.1
5995,25,76,2010-07-02 22:31:46,927.74
4386,26,76,2010-07-03 21:37:00,769.39
5758,27,76,2010-07-04 00:32:46,500.37
5540,28,12,2010-07-07 01:46:53,-199.07
5214,29,12,2010-07-08 09:20:23,-737.77
2126,30,12,2010-07-12 14:51:39,10.78
51,31,52,2010-07-14 00:00:00,0.0
6886,32,12,2010-07-14 01:18:12,86.87
3893,33,13,2010-07-14 08:36:31,430.4
7751,34,12,2010-07-15 06:06:45,906.73
1345,35,12,2010-07-15 07:52:48,-3.91
8595,36,52,2010-07-15 22:47:08,-232.26
8068,37,52,2010-07-16 10:29:58,-672.66
9083,38,12,2010-07-16 14:24:27,-27.92
6330,39,52,2010-07-21 07:41:13,-227.22
7450,40,13,2010-07-21 22:47:55,7.02
1938,41,52,2010-07-23 03:46:38,-578.63
4496,42,12,2010-07-23 04:08:15,-183.42
7511,43,52,2010-07-23 04:31:14,222.2
3780,44,52,2010-07-24 06:39:29,-921.1
638,45,52,2010-07-26 01:45:09,-365.18
6925,46,52,2010-07-27 12:12:01,-327.19
4429,47,12,2010-07-27 14:19:44,16.49
4909,48,52,2010-07-27 21:06:40,-69.12
8098,49,12,2010-07-29 05:14:51,-840.31
9960,50,13,2010-07-29 18:11:34,-445.1
73,51,74,2010-07-30 00:00:00,0.0
5912,52,52,2010-07-31 20:33:20,756.8
447,53,52,2010-08-02 08:46:34,-537.26
5428,54,52,2010-08-06 05:13:00,-781.15
8738,55,52,2010-08-06 05:56:31,72.31
6301,56,52,2010-08-07 19:32:27,124.81
3240,57,52,2010-08-09 04:17:08,37.22
9306,58,76,2010-08-11 22:44:14,547.38
4073,59,52,2010-08-12 01:38:44,295.07
3347,60,52,2010-08-12 05:28:57,-490.06
358,61,13,2010-08-13 19:34:50,627.57
5357,62,52,2010-08-14 11:28:04,385.43
2802,63,52,2010-08-14 15:40:21,-64.42
9527,64,52,2010-08-14 21:34:00,-346.71
5110,65,76,2010-08-16 09:33:58,-472.1
845,66,12,2010-08-22 21:46:58,-291.79
5102,67,13,2010-08-22 23:53:57,222.91
3821,68,52,2010-08-23 16:38:49,-207.63
2990,69,52,2010-08-25 01:47:16,-676.54
1399,70,12,2010-08-27 03:24:21,-18.41
4689,71,12,2010-08-27 04:49:07,-961.49
3243,72,12,2010-08-27 12:17:50,173.91
5755,73,52,2010-08-27 16:38:43,50.76
1791,74,52,2010-08-28 09:56:32,227.17
2026,75,52,2010-08-28 16:45:41,-271.93
8559,76,52,2010-08-30 22:08:36,-211.34
4512,77,12,2010-08-31 14:11:33,200.53
6856,78,13,2010-08-31 20:51:11,212.27
6236,79,52,2010-09-01 23:42:57,560.62
7001,80,13,2010-09-05 13:03:33,93.22
8299,81,52,2010-09-06 03:18:14,-568.62
8581,82,13,2010-09-06 22:46:34,-182.09
5105,83,52,2010-09-07 07:28:17,-884.15
7395,84,12,2010-09-07 11:39:04,306.03
6814,85,52,2010-09-08 00:53:34,831.91
4424,86,52,2010-09-08 01:25:04,-895.4
6466,87,52,2010-09-08 11:16:37,297.9
2328,88,52,2010-09-11 18:08:13,-489.13
4372,89,13,2010-09-12 10:55:22,-818.33
6916,90,52,2010-09-15 11:03:58,886.01
3422,91,12,2010-09-15 20:07:16,979.57
7939,92,52,2010-09-17 11:17:32,476.27
3014,93,52,2010-09-19 09:11:48,-791.61
9968,94,12,2010-09-19 11:08:56,518.35
10059,95,52,2010-09-19 16:31:48,678.55
637,96,12,2010-09-19 20:26:32,76.04
425,97,52,2010-09-22 05:52:30,640.59
1523,98,76,2010-09-22 06:33:45,-255.33
3730,99,52,2010-09-22 16:18:40,-412.69
1759,100,76,2010-09-22 17:43:32,977.65
6250,101,76,2010-09-23 18:02:16,485.76
5897,102,52,2010-09-23 21:51:54,511.74
9009,103,52,2010-09-24 13:27:41,974.07
1101,104,52,2010-09-24 19:44:33,210.94
6724,105,52,2010-09-25 03:05:09,-806.87
5064,106,52,2010-09-26 15:45:44,703.53
2997,107,52,2010-09-27 07:22:41,374.66
26,108,27,2010-09-28 00:00:00,0.0
8992,109,12,2010-09-28 14:44:29,318.59
4181,110,52,2010-09-29 09:04:12,191.5
7017,111,52,2010-10-01 07:16:53,-828.58
6026,112,52,2010-10-01 21:01:18,141.5
1493,113,52,2010-10-02 01:02:00,516.87
7571,114,52,2010-10-02 16:45:49,262.64
4345,115,52,2010-10-03 03:11:07,-781.87
7277,116,12,2010-10-05 02:17:29,765.74
121,117,52,2010-10-06 14:01:21,306.23
1656,118,52,2010-10-07 17:16:50,-564.5
3548,119,12,2010-10-11 03:39:24,926.97
1224,120,76,2010-10-11 20:10:29,-522.45
19,121,20,2010-10-15 00:00:00,0.0
2403,122,52,2010-10-15 00:17:29,677.09
7749,123,27,2010-10-15 17:41:37,-70.21
8361,124,12,2010-10-16 06:07:04,-850.39
2231,125,52,2010-10-17 11:19:50,-748.11
9614,126,52,2010-10-17 20:49:17,-248.74
2751,127,52,2010-10-17 22:35:41,931.32
9404,128,52,2010-10-20 01:04:50,-421.14
7470,129,52,2010-10-22 01:31:34,-872.48
6970,130,12,2010-10-22 10:07:49,62.45
256,131,12,2010-10-24 05:23:46,548.22
656,132,12,2010-10-25 16:12:42,-55.72
1769,133,52,2010-10-25 18:54:23,-987.78
1178,134,13,2010-10-26 08:26:17,-949.52
2585,135,52,2010-10-26 20:58:10,-730.62
2695,136,52,2010-10-28 07:07:16,-805.48
9220,137,12,2010-10-29 04:23:43,-138.63
204,138,52,2010-10-30 09:09:48,400.61
4485,139,52,2010-11-02 03:47:20,515.98
1772,140,27,2010-11-03 08:53:40,-720.93
9326,141,52,2010-11-03 11:19:22,430.0
7134,142,13,2010-11-04 01:11:30,711.45
1880,143,12,2010-11-04 04:03:29,594.98
3020,144,52,2010-11-04 20:27:54,772.49
8959,145,76,2010-11-05 12:36:33,583.45
2769,146,52,2010-11-05 19:17:06,-627.96
5560,147,52,2010-11-07 07:08:45,-555.47
7371,148,76,2010-11-07 10:50:01,-440.82
5950,149,76,2010-11-07 12:12:31,0.25
735,150,52,2010-11-07 13:56:11,206.87
3556,151,52,2010-11-08 13:55:15,493.35
6386,152,52,2010-11-11 10:54:14,624.83
9567,153,52,2010-11-11 22:57:03,12.71
7782,154,52,2010-11-13 14:34:07,-500.69
9349,155,52,2010-11-13 22:16:20,-461.14
3908,156,52,2010-11-14 03:25:35,-410.2
8209,157,52,2010-11-15 19:05:42,-838.89
8637,158,52,2010-11-18 17:14:49,306.84
482,159,52,2010-11-19 04:30:28,219.55
771,160,13,2010-11-19 07:34:54,-299.31
1594,161,52,2010-11-19 18:02:37,632.45
6369,162,52,2010-11-20 11:57:58,718.92
86,163,87,2010-11-24 00:00:00,0.0
6000,164,52,2010-11-26 01:02:59,-64.95
4070,165,87,2010-11-29 03:25:12,-689.18
4036,166,12,2010-11-29 10:00:50,18.81
305,167,87,2010-11-29 15:02:23,-819.41
2302,168,52,2010-11-30 12:19:12,626.78
7677,169,52,2010-12-03 05:44:53,-94.8
6166,170,12,2010-12-03 07:52:01,276.51
9121,171,52,2010-12-07 05:09:07,-7.51
9430,172,87,2010-12-10 03:18:50,-920.88
3184,173,52,2010-12-12 11:21:07,12.35
3432,174,52,2010-12-13 22:14:27,-5.69
2722,175,87,2010-12-19 23:06:52,103.91
6384,176,52,2010-12-20 10:26:44,-398.06
3455,177,52,2010-12-21 01:47:35,984.96
4503,178,52,2010-12-21 03:07:25,515.7
3300,179,20,2010-12-21 18:37:44,-61.12
2535,180,52,2010-12-22 01:03:38,132.41
8911,181,13,2010-12-22 10:58:35,-298.72
5029,182,12,2010-12-22 23:27:25,485.3
70,183,71,2010-12-23 00:00:00,0.0
627,184,52,2010-12-24 05:05:27,774.67
4356,185,87,2010-12-25 12:17:16,769.79
